,dealAmountYear,dealAmountMonth,buildYear,dealYear,dealMonth,dealDay,dong,apartmentName,regionalCode,areaForExclusiveUse,floor
30208,"67,500",25,2017,2021,12,15,서초동,"마제스타시티(힐스테이트서리풀101,102동)",11650,59.95,22
30209,"26,250",0,2003,2021,12,15,서초동,서초대우아이빌,11650,35.307,7
30210,"41,000",0,2020,2021,12,15,서초동,디아레나서초,11650,27.92,10
30211,"5,000",115,2020,2021,12,16,서초동,디아레나서초,11650,27.39,13
30212,"30,000",280,2006,2021,12,16,서초동,롯데캐슬클래식,11650,74.3,11
30213,"10,500",158,1988,2021,12,16,서초동,삼풍아파트,11650,79.47,1
30214,"26,250",0,2001,2021,12,17,서초동,밀라텔쉐르빌,11650,32.66,19
30215,"90,000",0,1988,2021,12,17,서초동,삼풍아파트,11650,79.47,1
30216,"40,000",47,1979,2021,12,17,서초동,진흥아파트,11650,101.32,9
30217,"130,000",70,2003,2021,12,17,서초동,서초래미안,11650,111.32,7
30218,"3,000",95,2004,2021,12,17,서초동,풍림아이원플러스,11650,35.903,12
30219,"105,000",0,1988,2021,12,17,서초동,삼풍아파트,11650,130.73,14
30220,"23,250",8,1978,2021,12,17,서초동,신동아아파트(1차),11650,75.86,6
30221,"80,000",0,1978,2021,12,17,서초동,신동아아파트(1차),11650,132.1,9
30222,"6,700",46,2021,2021,12,17,서초동,서초꽃마을주얼리,11650,16.63,9
30223,"105,000",0,1988,2021,12,18,서초동,삼풍아파트,11650,130.73,6
30224,"155,000",0,1988,2021,12,18,서초동,삼풍아파트,11650,130.23,11
30225,"100,800",0,2002,2021,12,18,서초동,현대성우주상복합아파트,11650,161.91,10
30226,"155,000",0,1988,2021,12,18,서초동,삼풍아파트,11650,163.81,5
30227,"50,000",90,1988,2021,12,18,서초동,삼풍아파트,11650,79.47,6
30228,"10,000",480,1988,2021,12,18,서초동,삼풍아파트,11650,130.73,15
30229,"40,000",60,2005,2021,12,18,서초동,서초가람아파트,11650,83.21,3
30230,"30,450",0,2003,2021,12,18,서초동,래미안서초유니빌,11650,45.255,4
30231,"100,000",0,1993,2021,12,18,서초동,유원서초,11650,84.82,2
30232,"101,000",0,1993,2021,12,18,서초동,유원서초,11650,84.82,1
30233,"155,000",0,2009,2021,12,18,서초동,래미안서초스위트,11650,95.8079,23
30234,"110,000",0,2006,2021,12,18,서초동,서초타운트라팰리스,11650,103.56,15
30235,"71,400",0,1988,2021,12,18,서초동,삼풍아파트,11650,79.47,2
30236,"84,000",0,2003,2021,12,18,서초동,서초극동스타클래스,11650,90.18,12
30237,"64,000",0,2003,2021,12,18,서초동,다우월드아파트,11650,82.45,6
30238,"80,000",200,2003,2021,12,18,서초동,서초래미안,11650,111.32,7
30239,"26,000",0,1978,2021,12,18,서초동,신동아아파트(1차),11650,75.86,8
30240,"43,000",0,1978,2021,12,18,서초동,신동아아파트(1차),11650,101.6,2
30241,"50,000",0,2017,2021,12,18,서초동,서초동프레스티지아파트,11650,49.21,6
30242,"50,000",0,2017,2021,12,18,서초동,서초동프레스티지아파트,11650,49.21,6
30243,"123,900",0,2017,2021,12,18,서초동,서초푸르지오써밋,11650,84.95,6
30244,"75,000",150,2017,2021,12,18,서초동,서초푸르지오써밋,11650,59.62,11
30245,"84,000",0,2003,2021,12,18,서초동,서초래미안,11650,84.97,13
30246,"135,000",90,2003,2021,12,18,서초동,서초래미안,11650,111.92,7
30247,"1,000",95,2003,2021,12,19,서초동,서초대우아이빌,11650,37.777,8
30248,"1,000",95,2003,2021,12,19,서초동,서초대우아이빌,11650,37.777,8
30249,"80,000",0,2005,2021,12,19,서초동,두산위브(1362),11650,78.63,4
30250,"65,000",110,1988,2021,12,19,서초동,삼풍아파트,11650,79.47,11
30251,"115,500",0,1988,2021,12,20,서초동,삼풍아파트,11650,130.73,8
30252,"20,000",20,1978,2021,12,20,서초동,신동아아파트(1차),11650,75.86,4
30253,"102,000",0,2021,2021,12,20,서초동,서초프라임헤센아파트,11650,73.1369,4
30254,"145,000",0,2006,2021,12,20,서초동,롯데캐슬클래식,11650,84.98,23
30255,"51,900",0,2006,2021,12,20,서초동,서초쌍용플래티넘,11650,68.21,15
30256,"63,000",0,1989,2021,12,20,서초동,현대아파트,11650,84.33,14
30257,"84,000",0,2001,2021,12,21,서초동,서초삼성래미안,11650,84.97,6
30258,"50,000",79,1979,2021,12,21,서초동,진흥아파트,11650,131.04,11
30259,"26,250",0,2013,2021,12,21,서초동,서초자연인아파트(102동),11650,35.13,4
30260,"33,000",77,1989,2021,12,21,서초동,아남,11650,71.1,6
30261,"33,000",77,1989,2021,12,21,서초동,아남,11650,71.1,6
30262,"120,000",260,2020,2021,12,21,서초동,래미안 리더스원,11650,114.94,34
30263,"100,000",100,2002,2021,12,21,서초동,현대성우주상복합아파트,11650,161.91,14
30264,"23,100",0,1978,2021,12,21,서초동,신동아아파트(1차),11650,86.61,2
30265,"150,000",0,2000,2021,12,21,서초동,삼성서초가든스위트,11650,164.73,2
30266,"60,900",0,1999,2021,12,22,서초동,서초한빛삼성,11650,59.52,12
30267,"126,000",0,2006,2021,12,22,서초동,서초자이,11650,148.83,15
30268,"10,000",450,2005,2021,12,22,서초동,서초2차e-편한세상,11650,116.745,10
30269,"100,000",25,2001,2021,12,22,서초동,서초한신,11650,84.99,10
30270,"72,000",0,1988,2021,12,22,서초동,삼풍아파트,11650,79.47,9
30271,"160,000",0,1988,2021,12,22,서초동,삼풍아파트,11650,130.73,6
30272,"65,000",50,2007,2021,12,22,서초동,서초한일유앤아이주상복합,11650,84.89,4
30273,"27,500",0,2002,2021,12,22,서초동,서초동삼성쉐르빌2,11650,35.22,8
30274,"41,470",0,2019,2021,12,23,서초동,서초노블레스아파트,11650,27.57,13
30275,"110,000",140,2010,2021,12,23,서초동,서초교대e편한세상,11650,84.97,6
30276,"160,000",0,2001,2021,12,23,서초동,서초삼성래미안,11650,121.66,9
30277,"50,000",0,1979,2021,12,23,서초동,진흥아파트,11650,101.32,15
30278,"2,000",130,2006,2021,12,23,서초동,더샵서초,11650,30.39,28
30279,"78,000",0,2007,2021,12,23,서초동,대경벨로체,11650,83.125,5
30280,"90,000",0,2006,2021,12,23,서초동,롯데캐슬클래식,11650,84.98,7
30281,"1,000",83,2019,2021,12,23,서초동,지웰홈스서초,11650,14.1,10
30282,"68,250",0,1988,2021,12,23,서초동,삼풍아파트,11650,79.47,15
30283,"89,000",0,2006,2021,12,23,서초동,삼환바우스,11650,84.98,7
30284,"50,000",260,2002,2021,12,23,서초동,현대이에스에이아파트,11650,163.95,7
30285,"50,000",0,1979,2021,12,23,서초동,진흥아파트,11650,101.32,15
30286,"11,000",45,2013,2021,12,24,서초동,서초자연인아파트(102동),11650,26.69,5
30287,"71,400",0,1998,2021,12,24,서초동,우성아파트,11650,76.67,19
30288,"30,000",109,2001,2021,12,24,서초동,서초로얄,11650,84.83,7
30289,"110,000",0,2001,2021,12,24,서초동,서초한신,11650,95.88,3
30290,"110,000",50,2017,2021,12,24,서초동,서초푸르지오써밋,11650,59.92,28
30291,"28,500",0,2003,2021,12,24,서초동,서초이오빌,11650,36.66,21
30292,"34,650",0,2003,2021,12,24,서초동,대림서초리시온,11650,42.16,9
30293,"90,000",0,2021,2021,12,24,서초동,서초프라임헤센아파트,11650,73.1369,2
30294,"110,000",120,2009,2021,12,24,서초동,래미안서초스위트,11650,95.7555,2
30295,"24,670",0,2002,2021,12,25,서초동,서초동삼성쉐르빌2,11650,35.22,10
30296,"1,000",130,2003,2021,12,25,서초동,대림서초리시온,11650,49.92,6
30297,"50,000",250,2017,2021,12,25,서초동,서초푸르지오써밋,11650,74.93,11
30298,"10,300",200,1988,2021,12,25,서초동,삼풍아파트,11650,79.47,8
30299,"135,000",0,2005,2021,12,27,서초동,서초트라팰리스,11650,133.05,5
30300,"60,000",200,2006,2021,12,27,서초동,롯데캐슬클래식,11650,74.3,4
30301,"34,650",0,2019,2021,12,27,서초동,DK밸리뷰시티,11650,25.92,13
30302,"36,500",0,2018,2021,12,27,서초동,헤센파크힐,11650,20.66,3
30303,"1,000",85,2014,2021,12,27,서초동,urbanplace,11650,20.998,8
30304,"3,000",80,2013,2021,12,27,서초동,한라비발디스튜디오193,11650,19.99,6
30305,"35,000",88,1997,2021,12,28,서초동,서초한일,11650,59.96,2
30306,"152,250",0,2003,2021,12,28,서초동,현대슈퍼빌,11650,185.02,11
30307,"21,000",294,2006,2021,12,28,서초동,더샵서초,11650,118.63,22
30308,"74,550",0,2001,2021,12,29,서초동,서초한신,11650,85,9
30309,"90,000",0,2006,2021,12,29,서초동,래미안서초7차,11650,100.8,12
30310,"39,690",0,2006,2021,12,29,서초동,더샵서초,11650,30.39,26
30311,"39,000",0,2019,2021,12,29,서초동,서초노블레스아파트,11650,29.47,4
30312,"1,000",87,2019,2021,12,29,서초동,지웰홈스서초,11650,14.1,12
30313,"32,000",0,2002,2021,12,29,서초동,서초동삼성쉐르빌2,11650,35.17,4
30314,"6,000",115,2003,2021,12,29,서초동,대림서초리시온,11650,49.79,13
30315,"30,000",200,2006,2021,12,29,서초동,삼환바우스,11650,84.98,11
30316,"100,000",0,1993,2021,12,30,서초동,유원서초,11650,84.82,6
30317,"115,500",0,2018,2021,12,30,서초동,래미안서초에스티지S,11650,84.8,2
30318,"37,800",0,2003,2021,12,30,서초동,대림서초리시온,11650,49.92,4
30319,"120,000",0,2003,2021,12,30,서초동,서초래미안,11650,111.92,19
30320,"125,000",0,2017,2021,12,30,서초동,서초푸르지오써밋,11650,59.92,19
30321,"110,250",0,2017,2021,12,30,서초동,서초푸르지오써밋,11650,59.92,28
30322,"126,000",0,2009,2021,12,30,서초동,래미안서초스위트,11650,84.9571,14
30323,"68,250",0,1988,2021,12,30,서초동,삼풍아파트,11650,79.47,15
30324,"35,000",230,2001,2021,12,30,서초동,서초한신,11650,84.99,5
30325,"23,100",0,1978,2021,12,30,서초동,신동아아파트(1차),11650,86.61,7
30326,"115,500",0,2014,2021,12,30,서초동,서초롯데캐슬프레지던트,11650,84.97,6
30327,"60,000",380,2016,2021,12,30,서초동,래미안서초에스티지,11650,101.55,7
30328,"120,000",0,2003,2021,12,31,서초동,서초래미안,11650,84.97,19
30329,"150,000",0,2006,2021,12,31,서초동,경남아너스빌201동,11650,117.5,13
30330,"210,000",0,2004,2021,12,31,서초동,아크로비스타,11650,205.07,3
30331,"27,000",0,2004,2021,12,31,서초동,풍림아이원플러스,11650,28.666,15
30332,500,72,2014,2021,12,31,서초동,urbanplace,11650,20.998,7
30333,"10,000",110,1978,2021,12,31,서초동,신동아아파트(1차),11650,89.73,1
30334,"88,000",0,2014,2021,12,3,내곡동,서초더샵포레,11650,84.81,16
30335,"33,000",80,2015,2021,12,4,내곡동,서초포레스타2단지,11650,59.09,15
30336,"115,000",0,2014,2021,12,10,내곡동,서초더샵포레,11650,101.34,18
30337,"60,000",0,2014,2021,12,11,내곡동,서초더샵포레,11650,59.69,1
30338,"60,000",0,2014,2021,12,11,내곡동,서초더샵포레,11650,59.69,1
30339,"50,000",0,2015,2021,12,13,내곡동,서초포레스타2단지,11650,59.21,14
30340,"4,867",36,2015,2021,12,13,내곡동,서초포레스타2단지,11650,49.33,13
30341,"4,867",36,2015,2021,12,13,내곡동,서초포레스타2단지,11650,49.33,7
30342,"130,000",0,2014,2021,12,14,내곡동,서초더샵포레,11650,101.78,17
30343,"38,587",0,2014,2021,12,15,내곡동,서초더샵포레,11650,59.88,7
30344,"8,728",14,2015,2021,12,16,내곡동,서초포레스타2단지,11650,49.33,13
30345,"4,867",36,2015,2021,12,18,내곡동,서초포레스타2단지,11650,49.33,14
30346,"65,000",10,2014,2021,12,18,내곡동,서초더샵포레,11650,84.6,2
